Names	p.value	coeff	abs.coeff	fdr	Warning
Mm.21160	0.221114547649619	-0.000642455672671453	0.000642455672671453	0.776572775062156	0
Mm.2372	0.558869620137843	0.00105248819897822	0.00105248819897822	0.92763248474102	0
Mm.291311	0.404029256758368	0.000955666848945536	0.000955666848945536	0.88694471116456	0
Mm.21109	0.132620975600373	0.00283649208536465	0.00283649208536465	0.686864255538298	0
Mm.181824	0.954559705431376	-0.000108436541418165	0.000108436541418165	0.992351977825704	0
Mm.249096	0.164542910139626	-0.00132781195074331	0.00132781195074331	0.725433770182681	0
Mm.314056	0.96042784952094	-0.000211658775865014	0.000211658775865014	0.993220670156493	0
Mm.289900	0.6547043429571	-0.00124185258156026	0.00124185258156026	0.944205748498945	0
Mm.265347	0.66918053964581	0.00092657258426213	0.00092657258426213	0.947742808177016	0
Mm.294138	0.626140358241188	0.000358602465230679	0.000358602465230679	0.943028958054793	0
Mm.280069	0.350595645037423	0.000820509844147248	0.000820509844147248	0.86376601350663	0
Mm.193096	0.680698908985707	-0.000237860103042759	0.000237860103042759	0.95188358614341	0
Mm.29702	0.00804942843260514	0.00128162925306967	0.00128162925306967	0.257033536882759	0
Mm.4538	0.277165442120351	-0.000628720285788093	0.000628720285788093	0.816766516806291	0
Mm.243234	0.673104714245247	-0.000120188612635661	0.000120188612635661	0.948366410562391	0
Mm.2679	0.0803566199414696	0.005502969342792	0.005502969342792	0.585150504149884	0
Mm.1791	0.854869553161014	-0.00146471591465656	0.00146471591465656	0.981669548164409	0
Mm.233117	0.981046195759424	-2.99072767354867e-05	2.99072767354867e-05	0.996784795405597	0
Mm.29344	0.869305851248086	-0.000411882695835773	0.000411882695835773	0.986102969870005	0
Mm.249479	0.510051288399356	0.000927049791999225	0.000927049791999225	0.919197892568018	0
Mm.289516	0.731604863590615	-0.000488022189358318	0.000488022189358318	0.954133086154582	0
Mm.16563	0.630019033941536	0.00124742464247834	0.00124742464247834	0.944205748498945	0
Mm.233151	0.509386498531169	0.00124887269462117	0.00124887269462117	0.919197892568018	0
Mm.18517	0.610027075787269	0.00171971004207647	0.00171971004207647	0.939383771281316	0
Mm.6065	0.51451433028962	0.00039807596042406	0.00039807596042406	0.919197892568018	0
Mm.275127	0.545945927296443	0.00183310195355219	0.00183310195355219	0.92566535692956	0
Mm.376881	0.0493916785782764	-0.00315186139404212	0.00315186139404212	0.500160904239393	0
Mm.22776	0.213960129173343	0.000295333830240507	0.000295333830240507	0.768916798766724	0
Mm.12508	0.416327294018961	-0.00109278245921957	0.00109278245921957	0.88694471116456	0
Mm.30438	0.0983428971661426	-0.00795395306154475	0.00795395306154475	0.628258860880267	0
Mm.185453	0.890933019405517	-0.00054109229964013	0.00054109229964013	0.988429995244514	0
Mm.282863	0.419043617778888	0.00121503038887859	0.00121503038887859	0.88694471116456	0
Mm.243024	0.0869116729338114	0.00204785694430730	0.00204785694430730	0.60330410549673	0
Mm.296985	0.127326938740848	0.000937550368326138	0.000937550368326138	0.682109074649853	0
Mm.15701	0.92662025519164	-0.000200685780997088	0.000200685780997088	0.990688809424042	0
Mm.14455	0.928859735202505	-0.000109649848941903	0.000109649848941903	0.990688809424042	0
